ID,TITLE,LABEL
1,"UK flood defence plans are inadequate, warn scientists",-1
2,'Obscene amount of money': Anthony Albanese backs potential cap on political donations,-1
3,Getting to zero net emissions in 2050 is going to be tough - but Labor committing to it is a damn good thing,0
4,Smoke screen: how Australia's biggest polluters have been free to increase emissions,-1
5,Greta Thunberg to visit Bristol for youth climate protest,0
6,"With every flood, public anger over the climate crisis is surging",-1
7,Mike Bloomberg under fire for 'not very ambitious' climate plan,-1
8,Getting privatisation undone puts centre-left in good shape in Hamburg,1
9,Weatherwatch: Cleaning up air pollution has made winters milder,-1
10,"Great Barrier Reef could face 'most extensive coral bleaching ever', scientists say",-1
11,Morrison’s roadmap to emissions reduction could turn out to be pap – but it’s not a terrible idea,-1
12,UK weather: weekend rain could cause further flooding,-1
13,JP Morgan economists warn climate crisis is threat to human race,-1
14,Backing the trillion tree campaign to combat climate crisis,0
15,Revealed: quarter of all tweets about climate crisis produced by bots,-1
16,"When the storms hit, will Johnson and co help you? It’s the new postcode lottery",-1
17,House coal and wet wood to be phased out by 2023 to cut pollution,-1
18,Coalition ministers at odds over emissions target after Labor commits to net zero by 2050,0
19,The government's sudden passion for climate technology is newfound and insincere,0
20,"Colorado River flow shrinks from climate crisis, risking ‘severe water shortages’",-1
21,Rajendra Pachauri obituary,-1
22,"Bushfires highlight need for urgent climate action and 'a real target', Anthony Albanese says",-1
23,Audit firms face review by watchdog over climate risk exposure,-1
24,"Great Barrier Reef on brink of third major coral bleaching in five years, scientists warn",-1
25,Ghost glaciers: the transcendent Anthropocene – in pictures,-1
26,Climate crisis to AI: why firms and governments must change mindset,-1
27,Australian CEOs must rupture the political stagnation to lead the charge on climate action,0
28,Flooded Britain: a new normal?,-1
29,Labor to announce net zero emissions target by 2050 and will oppose taxpayer funding of new coal power,1
30,Getting a proper grip on flooding problems,-1
31,Oil and gas firms 'have had far worse climate impact than thought',-1
32,'The worst thing is the waiting': flood-hit communities tell of stress,-1
33,Red-state Utah embraces plan to tackle climate crisis in surprising shift,-1
34,The white swan harbingers of global economic crisis are already here,-1
35,The European Green Deal will bypass the poor and go straight to the rich,-1
36,"The world is failing to ensure children have a 'liveable planet', report finds",-1
37,Putting the 'net' into net zero targets: it’s time to start doing things that work. Now,0
38,Coal giant Glencore says its carbon emissions will fall 30% by 2035,0
39,How should Jeff Bezos invest his $10bn Earth Fund?,0
40,Aurora Australis officer asked to remove post criticising Scott Morrison's climate policy,-1
41,"Bees may struggle in winds caused by global warming, study finds",-1
42,What four years at sea taught me about our relationship to the ocean,-1
43,Hundreds of thousands of mussels cooked to death on New Zealand beach in heatwave,-1
44,Government to take ‘technology over taxation’ approach to climate change,-1
45,Weatherwatch: The downs and ups of plane contrails,0
46,Amazon's Jeff Bezos pledges $10bn to save Earth's environment,0
47,Why we must put flood defences before Johnson’s vanity projects,0
48,A citizens’ assembly on climate is pointless if the government won’t listen,-1
49,"Public support for new coalmines falls even among Coalition voters, ANU poll finds",-1
50,Sifting through the ashes: Mallacoota residents after the bushfires – in pictures,-1
51,"UK must prepare for more intense storms, climate scientists say",-1
52,Extinction Rebellion protesters dig up Cambridge college lawn,-1
53,"Australia needs to join the emissions technology revolution, Liberal Katie Allen says",-1
54,Met Office developing world's most advanced weather computer,1
55,Sadiq Khan sets up £50m fund to reduce emissions in London,1
56,Australian government granted BHP repeated approval to increase carbon emissions,-1
57,Russell Crowe's message on the climate crisis – video,0
58,A climate emergency: what happens when the taps run dry?,-1
59,The unequal cost of the drought,-1
60,Questions raised over decision to let cotton farms harvest first rainfall in years,-1
61,French ski resort moves snow with helicopter in order to stay open,-1
62,How bushfires have hit Australia’s winemakers,-1
63,"As they split from John Lewis, Ocado’s bosses are never knowingly underpaid",-1
64,Michael McCormack dismisses claims he will stand down as Nationals leader,0
65,A climate of uncertainty: pro cycling in a warming World,0
66,Trent Zimmerman backs net zero emissions target but foresees more Coalition infighting,0
67,I spent weeks reporting on the bushfires. This is the truth about regional Australia,-1
68,There is always hypocrisy in politics – but it can be good for the nation,-1
69,‘Air is cleaner than before the Industrial Revolution’: a best case scenario for the climate in 2050,0
70,Christiana Figueres on the climate emergency: ‘This is the decade and we are the generation’,-1
71,‘The only uncertainty is how long we’ll last’: a worst case scenario for the climate in 2050,-1
72,Extinction Rebellion protest at Gatwick and London fashion week,0
73,Climate summit calls for urgent action after Australia's fire-hit summer,-1
74,"PM must prioritise climate or Cop26 will fail, say leading figures",-1
75,Is disunity in politics really death any more? I'm not so sure given the rolling climate conflict,-1
76,Delta announces $1bn plan to be first carbon neutral airline,0
77,School climate strikers join Valentine's Day protests across world,0
78,RBS will change name to NatWest as Alison Rose begins overhaul,0
79,Beware oil execs in environmentalists’ clothing – BP could derail real change,-1
80,We have a new day of mourning and tiny school children are reciting ‘How to be a citizen’,-1
81,"Rajendra Pachauri, former IPCC head accused of sexual harassment, dies aged 79",-1
82,Odd choices: Johnson's reshuffle rewards loyal pro-Brexit MPs,-1
83,Hot on the trail of cold fusion as a solution to the climate crisis,0
84,"Earth just had hottest January since records began, data shows",-1
85,France to limit access to Mont Blanc to protect biodiversity,-1
86,"Welcome to the quarantine era, where bored, lonely and trapped indoors may be the new normal",-1
87,Alok Sharma appointed president of Cop26 climate conference,0
88,What are the tasks facing Alok Sharma as new Cop26 president?,0
89,Antarctic temperature rises above 20C for first time on record,-1
90,'I've lost friends': the young climate strikers forced to go it alone,-1
91,Labor denies breakaway pro-coal group points to division on climate policy,0
92,UK to lead global fight against illegal logging and deforestation,-1
93,Of course there’s a globalisation backlash. It has failed billions of people,-1
94,"Labour leadership hustings: Starmer, Nandy, Long-Bailey and Thornberry debate on BBC Newsnight – as it happened",0
95,"Mass melting of Antarctic ice sheet led to three metre sea level rise 120,000 years ago",-1
96,Living in the climate emergency: Australia's new fire zone,-1
